Date,Open,High,Low,Close,Adj Close,Volume
2005-04-26,15000.000000,15100.000000,15000.000000,15100.000000,9166.734375,272000
2005-04-27,15100.000000,15300.000000,15100.000000,15100.000000,9166.734375,158000
2005-04-28,15100.000000,15350.000000,15100.000000,15150.000000,9197.086914,463000
2005-04-29,15150.000000,15200.000000,15100.000000,15100.000000,9166.734375,543000
2005-05-02,15100.000000,15200.000000,15100.000000,15150.000000,9197.086914,575000
2005-05-03,15100.000000,15100.000000,14900.000000,14950.000000,9075.675781,503000
2005-05-04,14950.000000,14950.000000,14900.000000,14950.000000,9075.675781,566500
2005-05-06,14950.000000,15000.000000,14800.000000,15000.000000,9106.028320,1055500
2005-05-09,14950.000000,14950.000000,14350.000000,14600.000000,8863.202148,1696500
2005-05-10,14500.000000,14500.000000,13900.000000,14000.000000,8498.959961,1058000
2005-05-11,14000.000000,14000.000000,13400.000000,13400.000000,8134.718262,4150000
2005-05-12,13600.000000,13650.000000,13350.000000,13350.000000,8104.365723,1548500
2005-05-13,13300.000000,13500.000000,13250.000000,13400.000000,8134.718262,362000
2005-05-16,13400.000000,13400.000000,13150.000000,13300.000000,8074.011230,432500
2005-05-17,13350.000000,13400.000000,13100.000000,13400.000000,8134.718262,557500
2005-05-18,13400.000000,13700.000000,13250.000000,13500.000000,8195.424805,1326500
2005-05-19,13650.000000,13700.000000,13200.000000,13250.000000,8043.659180,1071500
2005-05-20,13150.000000,13200.000000,12850.000000,13200.000000,8013.303711,1558000
2005-05-23,13100.000000,13350.000000,13100.000000,13300.000000,8074.011230,414500
2005-05-25,13350.000000,13850.000000,13350.000000,13850.000000,8407.900391,1703500
2005-05-26,13900.000000,14150.000000,13700.000000,14100.000000,8559.666992,1468500
2005-05-27,14200.000000,14300.000000,13400.000000,13450.000000,8165.071289,3205000
2005-05-30,13300.000000,13300.000000,12550.000000,12650.000000,7679.417969,5076500
2005-05-31,12700.000000,13000.000000,12700.000000,12900.000000,7831.184570,2583000
2005-06-01,12900.000000,12900.000000,12650.000000,12700.000000,7709.770996,1872000
2005-06-02,12600.000000,12700.000000,12500.000000,12650.000000,7679.417969,1986500
2005-06-03,12650.000000,12650.000000,12000.000000,12050.000000,7315.175781,4051000
2005-06-06,12000.000000,12250.000000,11700.000000,12100.000000,7345.528809,2518500
2005-06-07,12100.000000,12200.000000,11800.000000,11900.000000,7224.116211,2495000
2005-06-08,11800.000000,11900.000000,11700.000000,11800.000000,7163.408203,1908500
2005-06-09,11850.000000,12050.000000,11850.000000,12000.000000,7284.823730,1044000
2005-06-10,12000.000000,12200.000000,12000.000000,12200.000000,7406.235840,987000
2005-06-13,12250.000000,12400.000000,12250.000000,12350.000000,7497.297363,1270500
2005-06-14,12350.000000,12950.000000,12350.000000,12750.000000,7740.124512,2717500
2005-06-15,12750.000000,12850.000000,12550.000000,12750.000000,7740.124512,1430500
2005-06-16,12900.000000,12900.000000,12700.000000,12750.000000,7740.124512,975500
2005-06-17,12700.000000,12850.000000,12700.000000,12800.000000,7770.475586,488000
2005-06-20,12800.000000,12800.000000,12650.000000,12800.000000,7770.475586,639000
2005-06-21,12800.000000,12800.000000,12550.000000,12550.000000,7618.709961,531000
2005-06-22,12500.000000,12600.000000,12450.000000,12500.000000,7588.355469,2101000
